timestamp,event,TCP_pose,joint_angles,TCP_force
0.6080000000001746,End transition on D-A,"[0.337103393034287, 0.7724481112002859, 0.10443191615997974, -1.3697551763389093, -2.3360600941966765, 1.3270891522551547]","[-2.219395462666647, -0.11257656038317876, 0.34013396898378545, -0.8784964841655274, -1.5488274733172815, -2.738800589238302]","[-1.3125364792521246, 1.6365343518824693, -0.7952839434952639, -0.07575354699117481, -0.17145425067078704, -0.1925896748907301]"
0.6159999999999854,Start D4 on A,"[0.3371583994263253, 0.7723061843464837, 0.10446946715967445, -1.3697216395181577, -2.3360077132265684, 1.327178632267909]","[-2.2195447126971644, -0.11331041276965337, 0.3415792624102991, -0.879133479004242, -1.5489361921893519, -2.738896433507101]","[-1.3628144996749125, 1.7324138754519767, -0.5950402098174183, -0.0851125838051976, -0.19543691067042496, -0.20878884976839213]"
0.6240000000007058,End D4 on A,"[0.3372226784606677, 0.7721482672216652, 0.10451904432014897, -1.3696615727899664, -2.335959252230874, 1.3272948950447145]","[-2.219712559376852, -0.1141161483577271, 0.3431442419635218, -0.879799560909607, -1.5490711371051233, -2.739016358052389]","[-1.3995972472434748, 1.581855939577254, -0.4276132506168029, -0.09038686569670987, -0.21711435983987687, -0.21942315027472548]"
0.6320000000005166,Start D4 on A,"[0.3372987766661885, 0.7719639085940883, 0.10458202722486867, -1.3695786769215796, -2.335983283668768, 1.3273568283004302]","[-2.219907585774557, -0.11504490793261724, 0.3449352423297327, -0.8806174558452149, -1.5492585341082972, -2.73917800584902]","[-1.280983974193541, 1.4158594309984334, -0.5925530538433155, -0.09255999447826908, -0.2264915154464067, -0.2297094908023392]"
0.6400000000003274,End D4 on A,"[0.3373947457419113, 0.7717710038270051, 0.10466638802794362, -1.3696230610567282, -2.3359204017483184, 1.3273441178468888]","[-2.220133129750387, -0.11604733884844975, 0.3468263784991663, -0.8814982932857056, -1.5493829886065882, -2.7392872015582483]","[-1.4008160834343335, 1.1736046381159586, -0.18123420481331526, -0.06888374100473543, -0.21196542352726672, -0.21898543256390923]"
0.6480000000001382,Start A3 on A,"[0.33744288558051827, 0.7715739883511826, 0.10476188493539848, -1.3695148377601312, -2.3360382180348265, 1.3272590708246212]","[-2.220307175313131, -0.11717112482104497, 0.34895259538759404, -0.8825624746135254, -1.5495594183551233, -2.7394824663745325]","[-1.2782116083959707, 1.8468979876121698, -0.6232917061255978, -0.07242442000795023, -0.20407458213955743, -0.22008392660921483]"
0.6559999999999491,End A3 on A,"[0.3375781512456574, 0.7713219829341778, 0.10488870607740686, -1.3695051558870812, -2.3360227687560373, 1.327317991618469]","[-2.2206085363971155, -0.11842365682635503, 0.35125428835024053, -0.8835693162730713, -1.5498068968402308, -2.7396586577044886]","[-1.282266153564445, 1.2196870911840925, -0.5171937587306662, -0.07264634585254294, -0.19826094218861853, -0.21212553687655006]"
0.6640000000006694,Start A3 on A,"[0.33767076045396827, 0.7710725434363455, 0.10499341444567328, -1.3694569040261741, -2.3360391247766525, 1.3272984158585277]","[-2.220865074788229, -0.11974401891741948, 0.3537657896624964, -0.8847639721683045, -1.5500033537494105, -2.7398505846606653]","[-1.0509059151716278, 1.5058580560942667, -0.4615521619106703, -0.06234052352210179, -0.19690366138154775, -0.218259074541851]"
0.6720000000004802,End A3 on A,"[0.3377987532180349, 0.770781993805271, 0.10509474185739429, -1.369442377804511, -2.33598341918123, 1.3274731248465035]","[-2.2211888472186487, -0.12118430555377202, 0.35652238527406865, -0.8859607738307496, -1.550286595021383, -2.7400196234332483]","[-1.564150708651369, 1.2619217956120683, -0.5414184114613066, -0.06955518259885486, -0.2028987738541283, -0.2062307359025955]"
0.680000000000291,Start B3 on A,"[0.33793159333174044, 0.7704679662744689, 0.10520624881268423, -1.3693056078350334, -2.335986998593237, 1.3275672769912743]","[-2.2215245405780237, -0.12271280706439214, 0.35945350328554326, -0.8872825664332886, -1.5505741278277796, -2.7402976194964808]","[-1.2020609611262572, 1.5613800067917905, -0.6581530431327303, -0.06822385903967024, -0.20011443112339125, -0.21151872972525743]"
